Name,Artists,Album,Duration,Popularity,Song ID,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo
Get Back,Pop Smoke,Meet The Woo 2,108160,81,3DWjFSDEQ9IWz1mj449fB7,9,1,4,0.0746,0.798,0.649,1.34e-05,0.517,-6.546,0.306,0.566,142.006
Element,Pop Smoke,Meet The Woo 2,135746,81,57BGVV6wcyhbn3hsjlqEZB,2,1,5,0.0301,0.772,0.878,2.18e-06,0.251,-4.22,0.324,0.305,61.311
Woo Year (feat. Dread Woo),Pop Smoke/Dread Woo,Shoot For The Stars Aim For The Moon (Deluxe),181714,60,3liqOtIOxObydJiqru2wr8,11,1,4,0.0957,0.792,0.708,4.87e-05,0.333,-5.166,0.0738,0.444,140.074
U Played (feat. Lil Baby),Moneybagg Yo/Lil Baby,Time Served,164753,70,7qeWNGBqqagdwf4KnjRzGZ,2,1,4,0.00341,0.874,0.847,0,0.29,-3.574,0.233,0.881,134.965
How,Lil Baby,My Turn,181999,58,2b7rt5gCEy2p2zTp656s4U,2,1,4,0.00168,0.582,0.488,0,0.0941,-8.208,0.455,0.309,80.322
Crashin' Out,Young Dolph,Dum and Dummer,174613,51,4LZ2Tn1XPRoy70IeEm7peM,1,1,4,0.067,0.908,0.722,0,0.0697,-5.469,0.272,0.787,148.013
Left Hand (feat. The Underachievers Kirk Knight Nyck Caution & CJ Fly),Beast Coast/Joey Bada$$/Flatbush Zombies/The Underachievers/Kirk Knight/Nyck Caution/CJ Fly,Escape From New York,223320,56,0q3C21uLnMbPVBlO0vaPhi,1,1,4,0.011,0.694,0.625,0,0.104,-6.599,0.0563,0.265,121.793
Gucci Bucket Hat,Pap Chanel/Future/Herion Young,Gucci Bucket Hat,198905,65,0DaMA9Qeod1l8d6kmEq4Ay,11,0,4,0.0256,0.929,0.679,0,0.0965,-5.877,0.318,0.598,94.501
On Sight,Free Nationals/JID/Kadhja Bonet/MIKNNA,On Sight,249453,42,0VKtRbgIN0YlDSgIhGLvun,2,0,4,0.276,0.707,0.663,0.000387,0.693,-7.548,0.0908,0.712,94.965
Zone 6 (Remix) (feat. Future & 6LACK),Young Nudy/Future/6LACK,SlimeBall 3,236946,54,2tbIldU1Cfdpat40wyJKkn,9,1,4,0.128,0.858,0.406,0,0.375,-9.404,0.649,0.596,155.918
Might Not,Belly/The Weeknd,Up For Days,224213,66,5e9aFSdnkQUrm5y8Dhw0qN,1,1,4,0.318,0.792,0.563,0,0.13,-4.836,0.0787,0.321,134.022
GANG GANG,JACKBOYS/Sheck Wes,JACKBOYS,244760,75,6uJONCdr2rC65BNmCnTBWK,7,0,4,0.071,0.859,0.6,0,0.353,-4.63,0.301,0.568,123.017
GATTI,JACKBOYS/Pop Smoke/Travis Scott,JACKBOYS,181144,80,40mjsnRjCpycdUw3xhS20g,2,1,4,0.135,0.594,0.676,0,0.163,-5.808,0.344,0.472,143.477
OUT WEST (feat. Young Thug),JACKBOYS/Travis Scott/Young Thug,JACKBOYS,157712,84,6gi6y1xwmVszDWkUqab1qw,8,1,4,0.0104,0.802,0.591,0,0.196,-4.895,0.225,0.309,139.864
WUNNA,Gunna,WUNNA,158240,66,0y7Ao3CVJsyKFmqdjutiIF,0,1,4,0.0217,0.89,0.455,0.0058,0.11,-9.0,0.255,0.313,148.009
SPEEDBOAT,Denzel Curry,ZUU,222533,64,2FTOLKjQUswhpdMFq15Raf,6,1,4,0.0604,0.925,0.628,0,0.358,-7.587,0.131,0.81,120.021
Perplexing Pegasus,Rae Sremmurd,Perplexing Pegasus,204787,0,2nYwV62UABTH0NanrwVIdQ,1,1,4,0.000725,0.897,0.448,1.17e-05,0.365,-8.874,0.0766,0.316,145.971
Audemar (feat. Tracy T),Young Thug/Young Stoner Life Records/Tracy T,Slime Language,207333,45,0NoQpbfJ6n7KUY2YlZI1j6,8,1,4,0.0296,0.907,0.499,0,0.118,-9.985,0.256,0.559,131.97
Razzle Dazzle (feat. Future),Mike WiLL Made-It/Future,Ransom 2,216041,37,5rk2nRNREUq6TTSS7h11Fr,1,1,4,0.177,0.769,0.603,0,0.172,-5.815,0.088,0.255,120.051
I Serve the Base,Future,DS2 (Deluxe),190893,51,1Rq4GtIucW9CAcF8B6PAbW,1,1,4,0.011,0.636,0.57,0.00204,0.0677,-5.973,0.0571,0.0883,168.202
One Dolla,Young Nudy,SlimeBall 3,163520,48,4qYVsAquxc797qD5sDVdcJ,1,1,4,0.0375,0.877,0.546,1.05e-05,0.108,-4.953,0.158,0.624,141.016
DNA.,Kendrick Lamar,DAMN.,185946,78,6HZILIRieu8S0iqY8kIKhj,1,1,4,0.00454,0.638,0.523,0,0.0842,-6.664,0.357,0.422,139.913
Still Brazy,YG,Still Brazy (Deluxe),202520,50,5Uj2at1EGAaWCrLyEUuXBp,1,1,4,0.0478,0.962,0.478,0,0.161,-6.942,0.075,0.232,105.939
Trap Trap Trap (feat. Young Thug & Wale),Rick Ross/Young Thug/Wale,Rather You Than Me,275720,48,1KZ0Xo6Mmeprp1Sw5xCHYz,8,0,4,0.00612,0.729,0.838,0,0.0721,-4.476,0.313,0.349,136.869
NEVER,JID,The Never Story,241682,64,7hsulgRNgbyczeAg8tChCB,1,1,4,0.0287,0.594,0.645,1.66e-05,0.0668,-7.45,0.315,0.205,103.974
King's Dead (with Kendrick Lamar Future & James Blake),Jay Rock/Kendrick Lamar/Future/James Blake,King's Dead (with Kendrick Lamar Future & James Blake),229670,72,51rXHuKN8Loc4sUlKPODgH,1,1,4,0.000813,0.645,0.705,0,0.128,-5.008,0.299,0.376,137.133
Jumped Out the Window,Young Thug,So Much Fun,204026,50,0o7Zga5TFy35CcivyPDO5m,1,1,4,0.00081,0.928,0.515,0,0.235,-8.306,0.0859,0.387,138.049
Perry Aye (feat. A$AP Rocky A$AP Nast Playboi Carti & Jaden Smith),A$AP Mob/A$AP Rocky/A$AP NAST/Playboi Carti/Jaden,Cozy Tapes Vol. 2: Too Cozy,146426,53,0PDwNx6GrHc5sRVy6Hc7GP,5,0,4,0.0483,0.919,0.535,0,0.102,-5.944,0.093,0.197,117.957
Phone Jumpin,Dave East/Wiz Khalifa,Paranoia: A True Story,247226,55,6HicBL9RxtWwNK7sS2AHHU,9,0,4,0.0216,0.632,0.767,0,0.378,-4.002,0.232,0.622,140.14
Nonstop,Drake,Scorpion,238614,79,0TlLq3lA83rQOYtrqBqSct,7,1,4,0.0165,0.912,0.412,0.0126,0.104,-8.074,0.123,0.423,154.983
Water on Water on Water,Young Dolph/Key Glock,Dum and Dummer,223520,64,5YGhm6pI5s0uxJ2DwrDYqO,8,1,4,0.0118,0.919,0.56,0,0.0963,-5.221,0.3,0.382,141.001
No Limit,G-Eazy/A$AP Rocky/Cardi B,The Beautiful & Damned,245386,75,2DQ1ITjI0YoLFzuADN1ZBW,1,1,4,0.0117,0.838,0.771,0,0.0853,-3.791,0.244,0.405,175.957
Reel Girls (feat. Bun B),Flatbush Zombies/Bun B,Vacation In Hell,267373,43,2HEACm14WJGvQZpQ2TKoqK,10,0,4,0.0407,0.807,0.523,0,0.606,-6.651,0.298,0.203,154.823
D4L,Future/Drake/Young Thug,Dark Lane Demo Tapes,189176,68,5fHrHoJKfCgBd35zwIBmUK,1,1,4,0.0128,0.718,0.706,0,0.352,-5.709,0.06,0.815,170.004
Westside,Lil Yachty,Lil Boat 3,151431,46,2xv48INYWXzGfcHRUxekM9,6,0,4,0.0302,0.916,0.704,0,0.11,-4.065,0.235,0.812,145.981
Me Vs Me,Moneybagg Yo,Time Served (Deluxe),183318,72,1lUTmmPMAsxZBR2iK9CKDF,5,0,4,0.205,0.853,0.821,0,0.209,-4.537,0.209,0.625,130.999
7 Min Freestyle,21 Savage,Issa Album,431586,55,5aZrmUOr1kL5U6cg0WZNyw,1,1,4,0.0723,0.844,0.454,0.787,0.126,-9.028,0.259,0.274,155.029
AUTOMATIC,Denzel Curry/Tay Keith,ZUU,182520,52,2TqfASuL5JRds7bJX01PdZ,2,1,4,0.00488,0.818,0.648,0,0.077,-5.899,0.0914,0.374,140.058
Racks 2 Skinny,Migos,Racks 2 Skinny,178024,67,568OIKgeHyGRD3uWR44JbO,1,1,4,0.00839,0.814,0.584,0,0.0646,-5.425,0.0819,0.405,141.016
Bad and Boujee (feat. Lil Uzi Vert),Migos/Lil Uzi Vert,Culture,343150,77,4Km5HrUvYTaSUfiSGPJeQR,11,1,4,0.061,0.927,0.665,0,0.123,-5.313,0.244,0.175,127.076
Slippery (feat. Gucci Mane),Migos/Gucci Mane,Culture,304041,73,6p8NuHm8uCGnn2Dtbtf7zE,1,0,4,0.307,0.92,0.674,0,0.104,-5.662,0.264,0.741,141.967
Call Casting,Migos,Culture,232705,53,0jOfl1nZf6sVBTG08Q4brn,1,1,4,0.0962,0.852,0.727,0,0.154,-4.851,0.267,0.496,130.014
STARGAZING,Travis Scott,ASTROWORLD,270714,80,7wBJfHzpfI3032CSD7CE2m,8,1,4,0.00947,0.487,0.789,4.05e-06,0.189,-3.69,0.044,0.0564,150.007
CAN'T SAY,Travis Scott,ASTROWORLD,198408,79,27a1mYSG5tYg7dmEjWBcmL,10,0,4,0.201,0.702,0.708,0,0.118,-5.366,0.0547,0.713,147.98
Wesley's Theory,Kendrick Lamar/George Clinton/Thundercat,To Pimp A Butterfly,287360,63,7Ks4VCY1wFebnOdJrM13t6,7,1,4,0.359,0.509,0.787,2.76e-05,0.26,-6.754,0.265,0.507,114.449
HUMBLE.,Kendrick Lamar,DAMN.,177000,82,7KXjTSCq5nL1LoYtL7XAwS,1,0,4,0.000282,0.908,0.621,5.39e-05,0.0958,-6.638,0.102,0.421,150.011
The Blacker The Berry,Kendrick Lamar,To Pimp A Butterfly,328826,61,5Mtt6tZSZA9cXTHGSGpyh0,10,0,4,0.00713,0.553,0.852,0,0.463,-4.08,0.305,0.27,176.058
m.A.A.d city,Kendrick Lamar/MC Eiht,good kid m.A.A.d city (Deluxe),350120,65,2cDCojn6uIBM6A5xTAbl3H,2,1,4,0.0538,0.487,0.729,4.07e-06,0.44,-6.815,0.271,0.217,91.048
Backseat Freestyle,Kendrick Lamar,good kid m.A.A.d city (Deluxe),212653,67,3aGibUHhQyBsyumYHylw0K,1,1,4,0.000739,0.546,0.651,0,0.235,-7.601,0.3,0.646,77.878
Starboy,The Weeknd/Daft Punk,Starboy,230453,84,7MXVkk9YMctZqd1Srtv4MB,7,1,4,0.141,0.679,0.587,6.35e-06,0.137,-7.015,0.276,0.486,186.003
Party Monster,The Weeknd,Starboy,249213,73,4F7A0DXBrmUAkp32uenhZt,1,1,4,0.189,0.573,0.63,2.31e-05,0.259,-8.389,0.105,0.218,77.525
No More Parties In LA,Kanye West,The Life Of Pablo,374413,67,0zLClc0emc6qUeV1p5nc99,5,1,4,0.246,0.508,0.921,0,0.221,-1.644,0.303,0.681,93.058
Rock Solid (feat. Gunna & Demon Child),Yak Gotti/Demon Child/Gunna,Gotti Outta Here,143111,46,586NBLeYCKcm1xzl0UkLrS,1,1,4,0.202,0.789,0.639,0,0.175,-5.903,0.351,0.623,134.937
Lemonade (feat. Lil Duke),Yak Gotti/Lil Duke,Gotti Outta Here,174545,35,4CyVNT1GetKtrMllHm4ts2,9,0,4,0.0846,0.727,0.659,0,0.135,-7.965,0.322,0.622,142.863
In The Coupe,Yak Gotti,Gotti Outta Here,180821,36,4J40RO4Bu5v9kFly7LXO2C,1,1,4,0.00685,0.746,0.551,0.00103,0.11,-9.537,0.102,0.213,146.023
Biggest Opp (feat. 5th Ward Greedy Real Taker & Yung Mal),Yak Gotti/5th Ward Greedy/Real Taker/Yung Mal,Gotti Outta Here,274285,31,6slucYWVAkGbdMXxrmwMED,9,1,4,0.05,0.795,0.468,0.00305,0.109,-9.047,0.271,0.403,139.995
Tales From Tha Guttah,Ramirez,THA PLAYA$ MANUAL,183857,49,27NiZkL9ZtOIF2TXkZcYgg,1,1,4,0.00441,0.75,0.689,0.133,0.375,-8.526,0.0918,0.857,175.003
TRAPPER (Remix) [feat. Lil Baby],Foogiano/Lil Baby,Gucci Mane Presents: So Icy Summer,269031,41,3760XkHe8CNFLNW0uEsFNg,5,0,4,0.00542,0.799,0.547,8.79e-05,0.103,-8.416,0.245,0.472,75.007
Give No Fxk,Migos/Travis Scott/Young Thug,Give No Fxk,224243,65,6ZelF5APDN5r6XnFqcnvWR,1,1,4,0.0303,0.904,0.627,5.68e-06,0.0923,-5.608,0.222,0.236,145.976
Big Tymer (feat. Z Money & AFN Peso),Shoreline Mafia/OHGEESY/Fenix Flexin/Z Money/AFN Peso,Mafia Bidness,167571,49,6I6dBuvQUBd3QbfiuMHm02,1,1,4,0.0293,0.828,0.586,0,0.108,-6.541,0.24,0.191,96.988
Friday Night Cypher (feat. Tee Grizzley Kash Doll Cash Kidd Payroll 42 Dugg Boldy James Drego Sada Baby Royce Da 5'9" and Eminem),Big Sean/Tee Grizzley/Kash Doll/Cash Kidd/Payroll/42 Dugg/Boldy James/Drego/Sada Baby/Royce Da 5'9"/Eminem,Detroit 2,568129,62,2kY2ROHIGdp3aA6ahqaUKm,1,1,4,0.0906,0.584,0.658,0,0.0694,-6.537,0.377,0.381,89.387
Magellanic,Quality Control/Takeoff,Quality Control: Control The Streets Volume 2,139784,42,1D5dKs5tA5cIUp85HJdUAC,2,1,4,0.0182,0.65,0.56,4.8e-06,0.125,-6.181,0.436,0.312,164.879
Took Her To The O,King Von,Took Her To The O,194586,65,0kSnpKOS1bUguBGe2z661G,1,1,4,0.00335,0.86,0.62,0,0.133,-6.465,0.375,0.479,159.98
Collard Greens,ScHoolboy Q/Kendrick Lamar,Oxymoron (Deluxe),299960,73,0zO8ctW0UiuOefR87OeJOZ,11,1,4,0.025,0.825,0.575,9.94e-06,0.205,-4.87,0.0633,0.65,153.954
SICKO MODE,Travis Scott,ASTROWORLD,312820,88,2xLMifQCjDGFmkHkpNLD9h,8,1,4,0.00513,0.834,0.73,0,0.124,-3.714,0.222,0.446,155.008
Chucky Cheese,MadeinTYO,Sincerely Tokyo,165293,63,0fABHG5a7RnqBlOKOwhWZD,10,0,4,0.523,0.89,0.542,0,0.123,-4.826,0.314,0.565,78.458
Ned Flanders (feat. A$AP Ferg),MadeinTYO/A$AP Ferg,Sincerely Tokyo,161013,63,2EUNZfjPToKZIahK0WMLKd,1,1,4,0.0254,0.936,0.495,0,0.087,-6.062,0.229,0.299,139.951
Grey Area,2 Chainz,So Help Me God!,171837,72,6jzW19SQaLj1kLArvipGQZ,11,1,4,0.0679,0.897,0.767,0.000364,0.129,-4.544,0.0959,0.675,134.913
