Name,Artists,Album,Duration,Popularity,Song ID,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo
Talk Shit Like a Preacher,Future,Future Hndrxx Presents: The WIZRD,132165,52,2aR4gdgyCgacqHGqUZ91YS,2,1,4,0.00728,0.878,0.452,0.000423,0.107,-8.695,0.496,0.425,154.035
Baptiize,Future,Future Hndrxx Presents: The WIZRD,218479,46,01sjbEk3X7KNXFvXXXN5MY,8,1,4,0.108,0.648,0.581,0,0.496,-6.958,0.315,0.235,153.947
First Off (feat. Travis Scott),Future/Travis Scott,Future Hndrxx Presents: The WIZRD,228366,64,3WRIaWsws011vHMd9uzPjG,1,1,4,0.013,0.734,0.683,0,0.28,-6.105,0.0776,0.445,162.038
Transformer (feat. Nicki Minaj),Future/Nicki Minaj,Future & Juice WRLD Present... WRLD ON DRUGS,196333,60,2MfcvcvWSUkstTDZXYIakq,2,1,4,0.00151,0.753,0.616,7.1e-06,0.291,-7.34,0.165,0.287,156.83
Red Bentley (feat. Young Thug),Future/Juice WRLD/Young Thug,Future & Juice WRLD Present... WRLD ON DRUGS,207866,62,3fFBZvG777xoKyvcrBq7lc,10,0,4,0.0301,0.903,0.609,1.61e-05,0.179,-7.555,0.237,0.268,149.991
Rent Money,Future,FUTURE,265366,56,5W9QCBJ6Em0XWX333YrNhc,1,1,4,0.0331,0.694,0.493,2.04e-06,0.431,-8.581,0.373,0.313,166.457
Good Dope,Future,FUTURE,172225,47,2YXEUNdnNLtFuf5gi3LnWm,1,0,4,0.0887,0.863,0.409,0.0281,0.359,-8.55,0.321,0.2,130.011
Draco,Future,FUTURE,225134,54,4GkkxswcdEt1tkSyiRzgnC,8,1,4,0.000668,0.804,0.456,0,0.31,-7.44,0.0468,0.165,130.014
POA,Future,FUTURE,248747,49,52SuMdAYS2jvKQhODi0ARY,11,0,4,0.000441,0.818,0.746,2.11e-06,0.176,-6.187,0.177,0.609,147.977
Mask Off,Future,FUTURE,204600,81,0VgkVdmE4gld66l8iyGjgx,2,1,4,0.0102,0.833,0.434,0.0219,0.165,-8.795,0.431,0.281,150.062
High Demand,Future,FUTURE,211691,47,4ibj6HRTdzkfvlDgxSXxCp,5,0,4,0.0175,0.907,0.465,1.54e-05,0.117,-7.123,0.288,0.188,141.957
Outta Time,Future,FUTURE,168607,48,0AkKwgg6rD4p7EpDlNpSz2,6,0,4,0.00597,0.75,0.546,3.18e-05,0.377,-6.951,0.384,0.438,75.443
